id,state,period,price
"936","CT","201204","17.64"
"937","CT","201203","17.16"
"938","CT","201202","17.09"
"939","CT","201201","17.32"
"940","CT","201112","18.15"
"941","CT","201111","18.49"
"942","CT","201110","18.56"
"943","CT","201109","18.04"
"944","CT","201108","17.76"
"945","CT","201107","18.07"
"946","CT","201106","18.36"
"947","CT","201105","18.57"
"948","CT","201104","18.13"
"949","CT","201103","17.93"
"950","CT","201102","17.56"
"951","CT","201101","18.01"
"952","CT","201012","18.65"
"953","CT","201011","19.5"
"954","CT","201010","19.77"
"955","CT","201009","19.12"
"956","CT","201008","18.96"
"957","CT","201007","19.01"
"958","CT","201006","19.4"
"959","CT","201005","20.05"
"960","CT","201004","19.69"
"961","CT","201003","19.34"
"962","CT","201002","19.07"
"963","CT","201001","19.14"
"964","CT","200912","19.85"
"965","CT","200911","20.41"
"966","CT","200910","20.73"
"967","CT","200909","20.26"
"968","CT","200908","20.33"
"969","CT","200907","20.43"
"970","CT","200906","21.06"
"971","CT","200905","21.06"
"972","CT","200904","20.54"
"973","CT","200903","20.35"
"974","CT","200902","19.99"
"975","CT","200901","19.6"
"976","CT","200812","19.48"
"977","CT","200811","20.14"
"978","CT","200810","21.16"
"979","CT","200809","20.32"
"980","CT","200808","21.12"
"981","CT","200807","19.14"
"982","CT","200806","19.46"
"983","CT","200805","20.0"
"984","CT","200804","19.58"
"985","CT","200803","18.54"
"986","CT","200802","18.52"
