id,name,alias,IATA,ICAO,callsign,country,active
2217,Estafeta Carga Aerea,,E7,ESF,"",Mexico,f
2219,Estrellas Del Aire,,  ,ETA,ESTRELLAS,Mexico,f
2221,Eti 2000,,  ,MJM,ELCO ETI,Italy,f
2304,FLowair Aviation,,  ,FLW,QUICKFLOW,France,f
2305,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,,  ,FMG,HUSKY,Germany,f
2306,FR Aviation,,  ,FRA,RUSHTON,United Kingdom,f
2307,FSB Flugservice & Development,,  ,FSB,SEABIRD,Germany,f
2308,FSH Luftfahrtunternehmen,,  ,LEJ,LEIPZIG FAIR,Germany,f
2401,Florida Coastal Airlines,,PA,FCL,FLORIDA COASTAL,United States,f
2402,Florida Department of Agriculture,,  ,FFS,FORESTRY,United States,f
2403,Florida Jet Service,,  ,FJS,FLORIDAJET,United States,f
2405,Flugdienst Fehlhaber,,  ,FFG,WITCHCRAFT,Germany,f
2406,Flugschule Basel,,  ,FLU,YELLOW FLYER,Switzerland,f
2407,Flugschule Eichenberger,,  ,EZB,EICHENBURGER,Switzerland,f
2408,Flugwerkzeuge Aviation Software,,  ,FWZ,"",Austria,f
2409,Fly Air,,F2,FLM,FLY WORLD,Turkey,f
2410,Fly CI Limited,,  ,FCT,DEALER,United Kingdom,f
2411,Fly Europa Limited,,  ,FEE,FLY EURO,United Kingdom,f
2412,Fly Excellent,,  ,FXL,FLY EXCELLENT,Sweden,f
2414,Fly Line,,  ,FIL,FLYLINE,Spain,f
2499,GTA Air,,  ,GTX,BIG-DEE,United States,f
2500,Ga-Ma Helicoptere,,  ,GAH,GAMHELICO,France,f
2501,Gabon Express,,  ,GBE,GABEX,Gabon,f
2502,Gabon-Air-Transport,,  ,GRT,"",Gabon,f
2503,Gacela Air Cargo,,  ,GIG,GACELA AIR,Mexico,f
2504,Gail Force Express,,  ,GFC,GAIL FORCE,United States,f
2505,Gain Jet Aviation,,  ,GNJ,HERCULES JET,Greece,f
2506,Galair International,,  ,SWF,GALAIR,United Kingdom,f
2507,Galaircervis,,  ,GLS,GALS,Ukraine,f
2598,Government of Zambia Communications Flight,,  ,GRZ,COM FLIGHT,Zambia,f
2599,Grampian Flight Centre,,  ,HLD,GRANITE,United Kingdom,f
2600,Granada Aviacion,,  ,GAV,GRANAVI,Spain,f
2601,Grand Aire Express,,  ,GAE,GRAND EXPRESS,United States,f
2602,Grand Airways,,  ,GND,GRAND VEGAS,United States,f
2603,Grand Canyon Airlines,,  ,CVU,CANYON VIEW,United States,f
2604,Grant Aviation,,GS,GUN,HOOT,United States,f
2605,Grantex Aviation,,  ,LMK,LANDMARK,United Kingdom,f
2606,Great American Airways,,  ,GRA,GREAT AMERICAN,United States,f
2608,Great Lakes Airways (Uganda),,  ,GLU,LAKES CARGO,Uganda,f
2613,Greek Navy,,  ,HNA,HELLENIC NAVY,Greece,f
2696,Heavylift International,,  ,HVL,HEAVYLIFT INTERNATIONAL,United Arab Emirates,f
2697,Helcopteros De Cataluna,,  ,HDC,HELICATALUNA,Spain,f
2698,Helenair (Barbados),,  ,HCB,HELEN,Barbados,f
2699,Helenair Corporation,,  ,HCL,HELENCORP,Saint Lucia,f
2700,Helenia Helicopter Service,,  ,HHP,HELENIA,Denmark,f
2701,Heli Air Services,,  ,HLR,HELI BULGARIA,Bulgaria,f
2702,Heli Ambulance Team,,  ,ALJ,ALPIN HELI,Austria,f
2703,Heli Bernina,,  ,HEB,HELIBERNINA,Switzerland,f
2705,Heli Hungary,,  ,HYH,HELIHUNGARY,Hungary,f
2706,Heli Medwest De Mexico,,  ,HLM,HELIMIDWEST,Mexico,f
2794,Hunair Hungarian Airlines,,  ,HUV,SILVER EAGLE,Hungary,f
2795,Hungarian Air Force,,  ,HUF,HUNGARIAN AIRFORCE,Hungary,f
2796,Hyack Air,,  ,HYA,HYACK,Canada,f
2797,Hydro Air Flight Operations,,  ,HYC,HYDRO CARGO,South Africa,f
2798,Hydro-Québec,,  ,HYD,HYDRO,Canada,f
2799,Héli Sécurité Helicopter Airlines,,H4,   ,"",France,f
2800,International Air Carrier Association,,  ,ITC,"",Belgium,f
2801,IBC Airways,,II,CSQ,CHASQUI,United States,f
2802,IBL Aviation,,  ,IBL,CATOVAIR,Mauritius,f
2803,IBM Euroflight Operations,,  ,BBL,BLUE,Switzerland,f
2897,International Air Cargo Corporation,,  ,IAK,AIR CARGO EGYPT,Egypt,f
2898,International Air Corporation,,  ,EXX,EXPRESS INTERNATIONAL,United States,f
2899,International Air Service,,  ,IAS,STARFLEET,United States,f
2900,International Air Services,,  ,IAX,INTERAIR SERVICES,Liberia,f
2901,International Business Air,,6I,IBZ,INTERBIZ,Sweden,f
2902,International Business Aircraft,,  ,IBY,CENTRAL STAGE,United States,f
2903,International Charter Services,,  ,ICS,INTERSERVI,Mexico,f
2904,International Charter Xpress,,  ,ICX,INTEX,United States,f
2905,International Committee of the Red Cross,,  ,RED,RED CROSS,Switzerland,f
2906,International Company for Transport,,  ,IIG, Trade and Public Works,ALDAWLYH AIR,f
2907,International Flight Training Academy,,  ,IFX,IFTA,United States,f
2908,International Jet Aviation Services,,  ,IJA,I-JET,United States,f
2909,International Jet Charter,,  ,HSP,HOSPITAL,United States,f
2968,J-Air,,  ,JLJ,J AIR,Japan,f
2995,Jenney Beechcraft,,  ,JNY,JENAIR,United States,f
2996,Jeppesen Data Plan,,  ,XLD,"",United States,f
2997,Jeppesen UK,,  ,JPN,JETPLAN,United Kingdom,f
2998,Jet Air,,  ,JEA,JETA,Poland,f
2999,Jet Air Group,,  ,JSI,SISTEMA,Russia,f
3002,Jet Aspen Air Lines,,  ,JTX,JET ASPEN,United States,f
3003,Jet Aviation,,  ,PJS,JETAVIATION,Switzerland,f
3004,Jet Aviation Business Jets,,  ,BZF,BIZFLEET,United States,f
3005,Jet Center Flight Training,,  ,JCF,JET CENTER,Spain,f
3006,Jet Charter,,  ,JCT,JET CHARTER,United States,f
3098,Kampuchea Airlines,,E2,KMP,KAMPUCHEA,Cambodia,f
3099,Kanaf-Arkia Airlines,,  ,KIZ,"",Israel,f
3100,Kanfey Ha'emek Aviation,,  ,KHE,KANFEY HAEMEK,Israel,f
3101,Kansas State University,,  ,KSU,K-STATE,United States,f
3102,Karat,,V2,AKT,AVIAKARAT,Russia,f
3103,Karibu Airways Company,,  ,KRB,KARIBU AIR,Tanzania,f
3104,Karlog Air Charter,,  ,KLG,KARLOG,Denmark,f
3105,Karthago Airlines,,  ,KAJ,KARTHAGO,Tunisia,f
3106,Kartika Airlines,,  ,KAE,KARTIKA,Indonesia,f
3107,Kata Transportation,,  ,KTV,KATAVIA,Sudan,f
